,Metrics,CRWD,TEAM,ZS,NET,SNOW,HUBS,U,DDOG,DOCN,ZM,SEMR,MDB,SHOP
44,Revenue (ttm),1.64B,2.8B,969.96M,812.63M,1.64B,1.53B,1.22B,1.37B,492.3M,4.3B,222.74M,977.58M,5B
45,Revenue Per Share (ttm),7.15,11.06,6.94,2.53,5.26,32.17,4.19,4.37,4.62,14.40,1.60,14.78,3.98
46,Quarterly Revenue Growth (yoy),61.10%,35.80%,62.60%,53.90%,82.70%,35.70%,8.60%,73.90%,29.00%,7.60%,39.10%,57.10%,15.70%
47,Gross Profit (ttm),1.07B,2.34B,524.02M,509.29M,760.89M,1.04B,862.33M,794.88M,257.97M,3.05B,146.07M,614.29M,2.48B
48,EBITDA ,-68.24M,-77.73M,-283.47M,-116.63M,-666.13M,-63.48M,-502.04M,35.63M,49.6M,908.94M,-5.36M,-285.68M,-146.13M
49,Net Income Avi to Common (ttm),-181.28M,-614.12M,-373.65M,-289.75M,-675.61M,-95.81M,-658.52M,6.54M,-38.29M,990.14M,-15.33M,-320.17M,-1.9B
50,Diluted EPS (ttm),-0.79,-2.86,-2.67,-0.83,-2.10,-1.36,-2.10,0.00,-0.32,3.27,-0.05,-4.84,0.13
51,Quarterly Earnings Growth (yoy),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-85.60%,N/A,N/A,N/A
52,Total Cash (mrq),2.15B,1.47B,1.66B,1.64B,3.95B,1.25B,1.75B,1.7B,1.17B,5.52B,248.92M,1.83B,6.95B
53,Total Cash Per Share (mrq),9.28,5.77,11.69,5.01,12.42,25.95,5.88,5.38,12.03,18.55,1.76,26.85,5.48
54,Total Debt (mrq),772.05M,1.31B,1.01B,1.57B,241.76M,746.21M,1.82B,811.29M,1.47B,97.94M,N/A,1.24B,1.19B
55,Total Debt/Equity (mrq),69.12,391.68,189.10,270.03,4.45,85.63,79.59,66.77,"3,037.97",1.63,N/A,184.19,13.68
56,Current Ratio (mrq),1.83,1.19,2.24,5.45,3.21,2.31,3.44,3.31,16.59,3.44,3.28,4.16,11.17
57,Book Value Per Share (mrq),4.75,1.32,3.75,1.77,17.05,18.19,7.66,3.84,0.50,20.10,1.54,9.89,6.90
58,Operating Cash Flow (ttm),642.21M,883.5M,263.51M,36.48M,343.48M,260.98M,62.54M,403.52M,148.57M,1.39B,14.29M,8.34M,124.6M
59,Levered Free Cash Flow (ttm),588.47M,253.75M,425.37M,91.88M,608.1M,225.78M,168.05M,353.84M,56.85M,1.45B,26.25M,171.62M,291.01M
